,r1,r2,type
22,-4029.77779645,583.121620127,2
23,-4485.47555187,8615.8217371,2
24,-5074.46567218,2277.32123827,2
25,-2096.6968709,6675.01979471,2
26,-2142.11032195,1126.66232889,2
27,773.876134456,1432.46278646,2
28,1620.51030133,9293.86012556,2
29,-4293.82521118,3155.75739116,2
30,-608.910474149,2061.57810158,2
31,-3745.6574599,484.16326183,2
32,-2994.40648343,6895.86089712,2
33,205.223426826,3121.9422498,2
34,-2108.14902052,4332.49035355,2
35,-4452.5402969,1482.22805502,2
36,-4673.95100463,8286.94349541,2
37,1043.47224241,3533.76374054,2
38,-5179.64116984,798.3527555,2
39,-4477.04802546,4304.67599207,2
40,-4290.43362812,5732.25699027,2
41,22752.4983518,6478.82451142,2
42,15687.4604378,-1227.00645754,2
43,10104.9190292,-6715.71734857,2
44,23948.7715394,3563.33153046,2
45,7661.52911949,-4311.11282001,2
46,16712.6700057,-1941.10588438,2
47,13174.9685003,-4630.4504173,2
48,30642.2139451,1555.64342943,2
49,14556.0852441,-3450.51381618,2
50,9234.18019987,599.62275332,2
51,30364.3614653,2750.66621891,2
52,19349.310478,1062.65813738,2
53,31624.1554676,-2500.84717446,2
54,8807.72907017,-4546.60938232,2
55,7043.60735946,-629.329320077,2
56,25158.5946094,1950.34366089,2
57,4089.70819516,31737.3837391,2
58,9264.52224248,18436.6727654,2
59,-4438.42741789,29983.5757467,2
60,1144.89612197,25653.5411002,2
61,-4270.09031946,-3650.46379627,2
62,-4367.19986581,-3595.99266864,2
63,-4253.53761292,-4290.57574978,2
64,-2268.5928348,-1610.42375645,2
65,4803.84956637,-4518.11949249,2
66,-4211.12166313,-2654.59910319,2
67,-3011.38250936,-5850.7046202,2
68,4154.14696057,-2906.77735853,2
69,-4703.934905,-2335.47695703,2
70,-3339.84323308,158.730042442,2
71,1671.22059444,-4385.78400383,2
72,-4694.03206569,-56.418429571,2
73,-2942.74320169,-4316.31482835,2
74,-4091.57637929,-5478.45785179,2
75,-2555.19487645,-4137.55212643,2
76,5727.61028393,-5862.3896701,2
77,-3411.19603429,-4547.94360773,2
78,1584.64707391,-4810.9797054,2
79,-1958.78577929,-810.43253807,2
80,-3888.47775869,-4448.78787202,2
81,-2866.5503611,-3894.15971924,2
82,-1620.15917741,227.963725199,2
83,4027.03245236,-5754.69111577,2
84,-3904.77929807,-3223.63079786,2
85,-4346.00663454,-2006.79187876,2
86,-3902.12884611,-2754.65682041,2
87,-1577.478602,-8266.39028857,2
88,-3724.72312224,-546.730217044,2
89,4085.70898185,-4716.79967119,2
90,-3245.08605034,548.242117537,2
91,-1478.51109948,253.316761771,2
92,-3603.37567055,-2458.566953,2
93,-2908.45093209,-973.846475411,2
94,-3063.76201558,-514.595991512,2
95,-4206.52633105,-1483.72007427,2
96,-4064.45560335,-1009.18764074,2
97,-4318.85923464,-929.483224995,2
98,-3945.2133515,-6109.23332769,2
99,-3593.89587372,-3640.80215468,2
100,-2780.1289757,-7801.55667488,2
101,-651.567358164,-1069.5228585,2
102,-633.645323384,-7848.93049238,2
103,-2997.28906176,-690.165363333,2
104,-3623.31019728,-452.231256279,2
105,-3976.7302128,-2805.19442452,2
106,-4168.96258603,575.740264842,2
107,-4844.8026967,-3163.85973887,2
108,2962.73647296,-4544.15038002,2
109,-173.927908383,-3309.07741983,2
110,-4934.71066012,348.057399812,2
111,-3128.8194597,-5005.33047355,2
112,-3845.65464262,-4884.25662842,2
113,835.085138122,-6592.90844025,2
114,58.6014271662,-7068.5085678,2
115,4337.4060406,-5086.93222502,2
116,-4092.99026146,1526.41197425,2
117,4382.30017335,-5021.17903889,2
118,-4670.10144721,-749.453873637,2
119,-4282.01804791,-6713.80906297,2
120,-4531.43897683,-1868.31745498,2
121,-923.602567336,-1043.64964121,2
122,-4744.12453016,-53.9616061876,2
123,-3495.81695597,-4168.31380571,2
124,2112.85652434,-7404.01026421,2
125,-3718.80832963,-3912.20494796,2
126,-4465.48911994,-2890.064788,2
127,-257.56413818,-5149.11637928,2
128,-2413.83294939,-5167.95255282,2
129,-1447.65568848,-473.042687785,2
130,-3256.78751065,-5863.38833854,2
131,-3237.56210746,-5717.8044163,2
132,-3756.8083905,-4223.42773888,2
133,-3044.10072832,-4637.06436914,2
134,1320.12337279,-553.583972316,2
135,3486.12152176,-4014.12273212,2
136,-2910.89652262,154.56005013,2
137,-3010.72120397,-1746.49940556,2
138,-3720.12147452,-1735.57901293,2
139,2562.42960568,-3234.60904348,2
140,-2869.46147237,-4086.81499607,2
141,-2651.2310315,-5246.78544218,2
142,-2541.43983458,-2116.87431805,2
143,5571.27597148,-6385.3083914,2
144,-3978.30853873,-2639.21618958,2
145,-4344.62796819,-1215.69247902,2
146,-3566.50846422,-1896.09741925,2
147,-1844.4969119,-5327.28131032,2
148,-899.336216468,-5444.02023329,2
149,-1080.29921286,-8648.8025355,2
150,-1354.6848822,38.9760085633,2
151,-3315.85724289,-3589.87705618,2
152,1528.39506395,-6327.09859753,2
153,-1801.60291076,-6568.74914743,2
